ModelType,Lags,Hidden,Layers,Dropout,Learning_Rate,Epochs,RMSE,MAPE,R
GRU,3,64,8,0.4,0.001,150,16.634822360696553,181.88034841776866,0.0745234684921336
GRU,5,64,2,0.4,0.001,50,1.8229110881562378,90.89051641402042,0.9214329640607088
GRU,5,64,2,0.4,0.001,100,1.218747518069196,97.02159402038298,0.9199886935433002
GRU,5,64,2,0.4,0.001,150,0.7525912018033606,138.8224920010535,0.8505151051135044
GRU,5,64,4,0.4,0.001,50,7.323010344254343,75.84370903826662,0.8534034744927301
GRU,5,64,4,0.4,0.001,100,5.969704577797337,84.86173911365103,0.8822466064256208
GRU,5,64,4,0.4,0.001,150,5.290035785400306,134.85067117001228,0.6725272845848861
GRU,5,64,8,0.4,0.001,50,12.893647784341406,116.80735259313893,-0.44603337537081805
GRU,5,64,8,0.4,0.001,100,10.53293020771481,120.19217632036697,-0.4089482045529951
GRU,5,64,8,0.4,0.001,150,13.453479407566736,116.23099175081477,-0.027356244344883287
GRU,7,64,2,0.4,0.001,50,1.529609529595626,84.23009270673553,0.9202280251675028
GRU,7,64,2,0.4,0.001,100,1.4764170105107273,66.93441202656884,0.940701115392247
GRU,7,64,2,0.4,0.001,150,2.434947054802216,148.76277992179757,0.8828437365543245
GRU,7,64,4,0.4,0.001,50,7.077887005422914,89.7104202670301,0.8667787666311246
GRU,7,64,4,0.4,0.001,100,0.3021710202964719,89.18099010803091,0.8747698968267976
GRU,7,64,4,0.4,0.001,150,6.576455464983911,112.10888680354772,0.7017614396673874
GRU,7,64,8,0.4,0.001,50,11.564499479911994,112.47338304464456,-0.41085502085078135
GRU,7,64,8,0.4,0.001,100,8.109391435691855,163.40173384751785,-0.4507207846423932
GRU,7,64,8,0.4,0.001,150,9.292552788171742,130.41272885012958,-0.28845684012662126
GRU,3,128,2,0.4,0.001,50,7.8062408518593065,82.1794873543348,0.8065375055116896
GRU,3,128,2,0.4,0.001,100,3.820471010710064,61.595854647047965,0.9367021765736602
GRU,3,128,2,0.4,0.001,150,1.75908650717907,95.84529016564308,0.8888469410579497
GRU,3,128,4,0.4,0.001,50,9.872886302398513,127.90527170682932,-0.4178260271685414
GRU,3,128,4,0.4,0.001,100,17.403790521489615,199.2007751221125,-0.09781491499094941
GRU,3,128,4,0.4,0.001,150,16.05813817634477,161.71567676177162,-0.12789644755756516
GRU,3,128,8,0.4,0.001,50,12.704046340530269,103.2957894932899,-0.4094351730392909
GRU,3,128,8,0.4,0.001,100,11.196595004390812,101.92361620285402,0.42566719355696087
GRU,3,128,8,0.4,0.001,150,12.870030257840567,99.64596685463935,0.425621697337784
GRU,5,128,2,0.4,0.001,50,5.117893450147887,76.57787185481486,0.8491985040625883
